t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
33.2		0.000219351		0.001399547		8.61E-05		0.000691511
33.3		0.000215514		0.001373943		8.51E-05		0.000687624
33.4		0.000215707		0.001374026		8.56E-05		0.00068887
33.5		0.000219169		0.001395574		8.68E-05		0.000692217
33.6		0.000225073		0.00143609		8.77E-05		0.000702716
33.7		0.000237168		0.00152162		9.00E-05		0.000724226
33.8		0.00025531		0.001630894		9.43E-05		0.000761044
33.9		0.000252107		0.001602181		9.20E-05		0.000736567
34		0.00024328		0.001532679		8.85E-05		0.000712103
34.1		0.000238849		0.001495076		8.74E-05		0.000709289
34.2		0.000241802		0.001496733		8.81E-05		0.000712586
34.3		0.000237162		0.001462075		8.73E-05		0.000703892
34.4		0.000234024		0.00144292		8.58E-05		0.000696865
34.5		0.000236826		0.001460135		8.57E-05		0.000703892
34.6		0.000246502		0.001506295		8.74E-05		0.000715395
34.7		0.000252317		0.001533504		8.81E-05		0.000712786
34.8		0.000251386		0.001532211		8.70E-05		0.000700579
34.9		0.000243862		0.001492134		8.55E-05		0.000683557
35		0.00023709		0.001453907		8.51E-05		0.000673241
35.1		0.000236856		0.001449159		8.50E-05		0.000666932
35.2		0.000232395		0.001427667		8.36E-05		0.00065554
35.3		0.000234753		0.001433958		8.35E-05		0.000654822
35.4		0.000242084		0.001466399		8.50E-05		0.00066577
35.5		0.000265049		0.001566919		8.95E-05		0.000697912
35.6		0.000264363		0.001546465		8.88E-05		0.000694401
35.7		0.000260716		0.001532004		8.79E-05		0.000691744
35.8		0.000273489		0.001616312		9.08E-05		0.000717512
35.9		0.00028771		0.001680331		9.41E-05		0.000741758
36		0.000281308		0.001646607		9.17E-05		0.000716748
36.1		0.000253161		0.001499622		8.52E-05		0.000663731
36.2		0.000245695		0.001446724		8.35E-05		0.000649045
36.3		0.00023863		0.001398967		8.24E-05		0.000637383
36.4		0.000232233		0.00136027		8.17E-05		0.000629626
36.5		0.000230198		0.001341081		8.12E-05		0.000626848
36.6		0.000230958		0.001339073		8.13E-05		0.000626996
