t		SE_nodrifter		SE_drifter
6.02		2495.985959		1.00047E-05
6.03		2487.940016		1.01201E-05
6.04		2471.820015		1.01251E-05
6.05		2462.130741		9.96286E-06
6.06		2452.805306		9.96619E-06
6.07		2440.55781		9.75845E-06
6.08		2431.152039		9.98181E-06
6.09		2422.373997		9.75013E-06
6.1		2416.037263		9.89973E-06
6.11		2403.89976		9.87682E-06
6.12		2383.046478		9.81436E-06
6.13		2362.096591		9.79112E-06
6.14		2341.873701		9.85869E-06
6.15		2335.078407		9.78577E-06
6.16		2332.989247		9.81957E-06
6.17		2335.146149		9.75531E-06
6.18		2342.210803		9.75489E-06
6.19		2346.318428		9.77225E-06
6.2		2354.09222		9.78472E-06
6.21		2357.171215		1.00722E-05
6.22		2361.923188		1.0137E-05
6.23		2367.913715		1.01719E-05
6.24		2374.334132		1.01699E-05
6.25		2380.922989		1.01391E-05
6.26		2386.124263		1.03763E-05
6.27		2386.12315		1.01475E-05
6.28		2382.626075		1.00236E-05
6.29		2378.502229		9.624E-06
6.3		2374.738751		9.63572E-06
6.31		2371.272976		9.32503E-06
6.32		2353.591295		9.37987E-06
6.33		2346.614595		9.33597E-06
6.34		2341.361414		9.25555E-06
6.35		2335.344725		9.14063E-06
6.36		2338.821814		9.27955E-06
6.37		2343.836791		9.08912E-06
6.38		2345.921122		9.16329E-06
6.39		2345.387116		9.23767E-06
6.4		2347.497573		9.40224E-06
6.41		2343.482428		9.19974E-06
6.42		2336.515422		9.4813E-06
6.43		2327.391305		9.02926E-06
6.44		2316.945654		9.59355E-06
6.45		2304.67702		9.45103E-06
6.46		2289.700037		1.01774E-05
6.47		2274.761855		9.4477E-06
6.48		2259.609401		9.52328E-06
6.49		2243.195162		9.90613E-06
6.5		2228.133437		1.04923E-05
6.51		2213.454628		1.09046E-05
6.52		2198.386686		1.04017E-05
6.53		2181.216866		1.05402E-05
6.54		2161.163154		1.05843E-05
6.55		2140.364142		1.05645E-05
6.56		2123.183572		1.05127E-05
6.57		2110.649965		1.09264E-05
6.58		2101.825401		1.04299E-05
6.59		2097.565518		1.17823E-05
6.6		2096.068323		1.13827E-05
6.61		2096.645301		1.16542E-05
6.62		2097.738643		1.15564E-05
6.63		2104.655645		1.19989E-05
6.64		2120.415876		1.14131E-05
6.65		2138.531736		1.22144E-05
6.66		2158.814842		1.16582E-05
6.67		2179.691145		1.20208E-05
6.68		2198.934671		1.20351E-05
6.69		2218.791439		1.21623E-05
6.7		2239.71419		1.24686E-05
6.71		2261.326986		1.13676E-05
6.72		2274.379082		1.25071E-05
6.73		2294.995606		1.17653E-05
6.74		2308.293435		1.23604E-05
6.75		2327.199589		1.26489E-05
6.76		2343.433776		1.21297E-05
6.77		2355.94484		1.29121E-05
6.78		2364.458896		1.29009E-05
6.79		2366.171438		1.31932E-05
6.8		2359.059046		1.38668E-05
6.81		2346.167698		1.32654E-05
6.82		2327.898628		1.43587E-05
6.83		2310.685865		1.40464E-05
6.84		2290.993575		1.40685E-05
6.85		2269.595534		1.41293E-05
6.86		2247.138975		1.43699E-05
6.87		2223.170299		1.41368E-05
6.88		2198.882583		1.43024E-05
6.89		2173.035612		1.44181E-05
6.9		2148.8007		1.47014E-05
6.91		2124.088852		1.42109E-05
6.92		2100.258089		1.41152E-05
6.93		2077.640383		1.38377E-05
6.94		2055.563187		1.33484E-05
6.95		2035.415923		1.36896E-05
6.96		2018.505032		1.35034E-05
6.97		2000.932865		1.38773E-05
6.98		1983.134747		1.40029E-05
6.99		1964.975524		1.40504E-05
7		1946.44565		1.39364E-05
7.01		1930.761377		1.38272E-05
7.02		1917.788354		1.38639E-05
7.03		1908.111373		1.36996E-05
7.04		1903.081615		1.3719E-05
7.05		1898.391884		1.37096E-05
7.06		1887.469483		1.3679E-05
7.07		1875.103573		1.36158E-05
7.08		1867.663977		1.36302E-05
7.09		1860.352209		1.34998E-05
7.1		1857.523538		1.35317E-05
7.11		1859.872319		1.33786E-05
7.12		1862.704113		1.34505E-05
7.13		1867.575337		1.33576E-05
7.14		1875.269		1.33624E-05
7.15		1884.316555		1.3247E-05
7.16		1889.632413		1.31758E-05
7.17		1901.704442		1.32271E-05
7.18		1918.23804		1.291E-05
7.19		1938.069927		1.3029E-05
7.2		1958.74722		1.25689E-05
7.21		1972.186974		1.27518E-05
7.22		1994.28958		1.24105E-05
7.23		2016.403511		1.26962E-05
7.24		2038.147397		1.19494E-05
7.25		2056.71796		1.24746E-05
7.26		2074.382117		1.19032E-05
7.27		2089.716182		1.19826E-05
7.28		2104.094918		1.17846E-05
7.29		2117.434966		1.143E-05
7.3		2130.62885		1.15017E-05
7.31		2144.067142		1.1214E-05
7.32		2156.380294		1.11938E-05
7.33		2167.204385		1.10023E-05
7.34		2176.717713		1.05751E-05
7.35		2186.546782		1.0577E-05
7.36		2197.875041		1.03686E-05
7.37		2201.310299		1.03467E-05
7.38		2201.144027		1.03458E-05
7.39		2199.015275		1.01541E-05
7.4		2196.587607		1.04577E-05
7.41		2194.282237		1.01179E-05
7.42		2192.714715		1.04111E-05
7.43		2189.219187		9.99117E-06
7.44		2182.492227		1.0461E-05
7.45		2175.463313		9.95815E-06
7.46		2168.548593		1.02965E-05
7.47		2152.465566		1.01181E-05
7.48		2144.889092		1.06057E-05
7.49		2135.001502		1.0701E-05
7.5		2124.320342		8.91868E-06
7.51		2113.533639		9.16048E-06
7.52		2102.745925		8.5224E-06
7.53		2094.944492		9.25372E-06
7.54		2090.757817		8.61459E-06
7.55		2091.762099		9.31899E-06
7.56		2095.314636		8.71956E-06
7.57		2099.890149		9.26094E-06
7.58		2106.773683		8.70451E-06
7.59		2113.430332		9.40154E-06
7.6		2123.529964		9.40122E-06
7.61		2134.237541		8.55708E-06
7.62		2133.412954		9.00738E-06
7.63		2142.924281		8.61551E-06
7.64		2150.66347		8.77327E-06
7.65		2161.083482		8.10714E-06
7.66		2174.005539		8.23283E-06
7.67		2181.248539		7.86934E-06
7.68		2193.427407		7.87177E-06
7.69		2208.94398		7.52372E-06
7.7		2225.803498		7.61715E-06
7.71		2244.740666		7.56582E-06
7.72		2259.02594		7.46225E-06
7.73		2273.525664		7.27454E-06
7.74		2289.066389		7.2579E-06
7.75		2306.377578		7.39476E-06
7.76		2325.186009		7.73175E-06
7.77		2345.057411		7.58203E-06
7.78		2365.805957		7.39678E-06
7.79		2382.74611		7.38292E-06
7.8		2400.222202		7.1346E-06
7.81		2420.138748		7.56495E-06
7.82		2442.836211		7.03338E-06
7.83		2466.751997		7.28926E-06
7.84		2489.354217		7.0786E-06
7.85		2510.201514		7.41715E-06
7.86		2527.852151		7.59355E-06
7.87		2542.30478		7.56909E-06
7.88		2553.829934		7.52091E-06
7.89		2563.040807		6.91158E-06
7.9		2575.075217		7.05964E-06
7.91		2584.875474		6.66676E-06
7.92		2592.248461		6.50852E-06
7.93		2598.397772		6.46642E-06
7.94		2604.228833		6.43634E-06
7.95		2607.423377		6.3259E-06
7.96		2608.071099		6.79857E-06
7.97		2614.40751		6.91548E-06
7.98		2624.424296		6.99641E-06
7.99		2622.100756		6.7508E-06
8		2626.819545		6.77115E-06
8.01		2626.34691		7.16832E-06
8.02		2631.14033		6.7639E-06
8.03		2636.22564		6.74414E-06
8.04		2638.591085		6.32128E-06
